Country,Life Expectancy UN 2024,Female Life Expectancy UN 2024,Male Life Expectancy UN 2024
Monaco,86.5,88.63,84.56
San Marino,85.82,87.22,84.32
Hong Kong,85.63,88.26,82.97
Japan,84.85,87.88,81.83
South Korea,84.43,87.28,81.32
Saint Barthelemy,84.4,86.92,81.57
French Polynesia,84.19,86.62,81.9
Andorra,84.19,86.24,82.26
Switzerland,84.09,85.95,82.17
Australia,84.07,85.49,82.28
Italy,83.87,85.87,81.75
Singapore,83.86,86.36,81.38
Spain,83.8,86.44,81.1
Liechtenstein,83.75,85.4,82.0
Reunion,83.67,86.45,80.67
Gibraltar,83.63,86.19,81.03
Malta,83.47,85.39,81.48
France,83.46,86.2,80.59
Norway,83.46,84.97,81.94
Sweden,83.42,85.22,81.65
Guernsey,83.38,85.64,81.15
Macau,83.23,85.35,81.05
Vatican City,83.12,85.21,80.95
United Arab Emirates,83.07,84.32,82.17
Iceland,83.01,84.46,81.63
Martinique,82.74,85.73,79.45
Israel,82.73,84.71,80.67
Canada,82.72,84.91,80.53
Ireland,82.58,84.61,80.58
Portugal,82.55,85.25,79.68
Qatar,82.55,83.48,81.78
Bermuda,82.49,85.87,79.06
Luxembourg,82.36,83.94,80.75
Netherlands,82.3,83.85,80.72
Belgium,82.27,84.45,80.06
New Zealand,82.24,83.89,80.6
Guadeloupe,82.24,85.65,78.35
Austria,82.12,84.45,79.75
Denmark,82.09,83.98,80.21
Finland,82.08,84.79,79.38
Greece,82.03,84.46,79.5
Puerto Rico,81.9,85.38,78.28
Cyprus,81.82,83.8,79.84
Slovenia,81.78,84.47,79.11
Germany,81.54,83.88,79.21
United Kingdom,81.45,83.33,79.54
Bahrain,81.42,82.13,80.85
Chile,81.36,83.23,79.45
Maldives,81.29,83.0,79.95
Isle of Man,81.09,83.2,79.04
Costa Rica,81.0,83.58,78.37
Kuwait,80.6,82.0,79.45
Cayman Islands,80.54,83.0,78.2
Saint Martin,80.44,83.96,76.99
Faroe Islands,80.39,82.68,78.4
Oman,80.25,82.05,78.72
Czechia,79.97,82.75,77.18
Jersey,79.83,81.86,77.86
Albania,79.78,81.59,77.92
Panama,79.77,82.71,76.88
Anguilla,79.49,82.78,76.23
United States,79.46,81.98,77.05
Falkland Islands,79.37,81.34,77.36
Estonia,79.31,83.17,75.12
Saudi Arabia,78.98,81.33,77.33
Northern Mariana Islands,78.95,80.87,77.28
New Caledonia,78.92,81.41,76.46
Poland,78.81,82.49,75.1
Croatia,78.75,81.82,75.6
Slovakia,78.49,81.71,75.21
Uruguay,78.29,82.04,74.38
Cuba,78.26,80.68,75.86
Turks and Caicos Islands,78.18,80.45,76.01
Bosnia and Herzegovina,78.04,81.07,74.65
China,78.02,80.97,75.25
Jordan,77.98,80.33,75.89
Lebanon,77.95,79.86,75.88
Peru,77.94,80.3,75.63
Colombia,77.91,80.61,75.16
Iran,77.85,79.81,76.0
Antigua and Barbuda,77.77,80.45,74.74
Sri Lanka,77.67,80.75,74.45
Ecuador,77.58,80.3,74.88
Argentina,77.54,80.02,74.98
North Macedonia,77.54,79.7,75.26
British Virgin Islands,77.43,80.19,74.7
Turkey,77.42,80.34,74.62
Guam,77.42,81.59,73.66
Montenegro,77.25,80.45,73.92
Hungary,77.18,80.33,73.89
French Guiana,77.18,80.15,74.33
Tokelau,77.17,79.03,75.08
Curacao,76.99,80.96,72.66
Serbia,76.94,80.18,73.68
Saint Pierre and Miquelon,76.94,81.64,72.96
Malaysia,76.82,79.52,74.45
Tunisia,76.71,79.33,74.13
Thailand,76.56,80.98,72.34
Sint Maarten,76.53,79.66,73.85
Aruba,76.5,78.92,73.85
Algeria,76.48,77.91,75.1
Montserrat,76.34,78.95,74.26
Latvia,76.33,80.6,71.75
Barbados,76.33,78.76,73.75
Mayotte,76.24,78.51,74.27
Cape Verde,76.22,79.37,73.05
Lithuania,76.17,80.8,71.41
Romania,76.09,79.68,72.56
Brazil,76.02,79.15,72.95
Armenia,75.85,79.59,71.58
Bulgaria,75.8,79.36,72.33
United States Virgin Islands,75.7,81.48,70.73
Brunei,75.5,77.73,73.49
Morocco,75.49,77.78,73.35
Cook Islands,75.47,79.19,72.06
Grenada,75.37,78.5,72.52
Mexico,75.26,78.0,72.44
Nicaragua,75.1,77.58,72.46
Mauritius,75.1,78.34,72.11
Bangladesh,74.93,76.67,73.3
Vietnam,74.74,79.38,70.05
Bahamas,74.71,78.33,71.06
Ukraine,74.69,79.39,69.79
Georgia,74.66,79.23,69.75
Belarus,74.62,79.22,69.74
Azerbaijan,74.58,77.29,71.71
Kazakhstan,74.53,78.52,70.27
Paraguay,73.98,77.09,71.01
Dominican Republic,73.87,77.1,70.66
Suriname,73.76,76.98,70.59
North Korea,73.74,75.88,71.55
Belize,73.74,76.66,71.08
Trinidad and Tobago,73.62,76.82,70.51
Russia,73.34,79.19,67.48
Bhutan,73.26,75.27,71.57
Tonga,73.07,76.54,69.5
Honduras,73.04,75.67,70.49
Seychelles,72.99,76.66,70.08
American Samoa,72.99,75.99,70.32
Saint Lucia,72.85,76.45,69.45
Guatemala,72.75,75.04,70.44
Venezuela,72.67,76.66,68.88
Syria,72.56,74.92,70.21
Uzbekistan,72.53,75.55,69.56
Iraq,72.42,74.18,70.5
El Salvador,72.3,76.49,67.76
Saint Kitts and Nevis,72.28,76.16,68.69
India,72.24,73.86,70.73
Mongolia,71.99,76.66,67.49
Tajikistan,71.93,74.14,69.68
Samoa,71.83,73.82,69.96
Kyrgyzstan,71.82,75.4,68.31
Egypt,71.81,74.01,69.65
Vanuatu,71.65,74.11,69.58
Jamaica,71.61,74.15,69.08
Western Sahara,71.58,73.77,69.87
Saint Vincent and the Grenadines,71.38,74.48,68.78
Moldova,71.33,75.67,66.7
Indonesia,71.29,73.43,69.16
Dominica,71.29,74.72,68.35
Libya,71.12,72.68,69.63
Cambodia,70.82,73.36,68.15
Solomon Islands,70.69,72.18,69.36
Nepal,70.64,72.14,69.09
Guyana,70.32,74.09,66.62
Turkmenistan,70.2,73.01,67.0
Greenland,70.19,72.6,68.21
Niue,70.1,72.87,67.54
Philippines,69.95,72.96,66.99
Sao Tome and Principe,69.9,73.91,66.41
Yemen,69.44,71.55,67.37
Palau,69.38,71.94,67.25
Botswana,69.29,71.85,66.78
Laos,69.22,71.53,67.02
Palestine,69.21,74.25,65.22
Senegal,68.92,71.01,67.01
Eritrea,68.89,70.94,66.76
Bolivia,68.74,71.32,66.27
Mauritania,68.71,70.73,66.7
Gabon,68.51,71.24,66.06
Uganda,68.49,71.37,65.49
Rwanda,68.02,70.14,65.71
Timor-Leste,67.9,69.67,66.26
Pakistan,67.8,70.32,65.46
Ethiopia,67.6,71.02,64.35
Malawi,67.56,70.77,64.27
Namibia,67.52,71.48,63.45
Fiji,67.46,69.54,65.47
Micronesia,67.36,71.28,63.63
Tuvalu,67.26,70.86,63.91
Tanzania,67.21,70.0,64.4
Myanmar,67.1,70.38,63.99
Marshall Islands,67.08,69.48,65.03
Comoros,67.02,69.2,65.01
Kiribati,66.6,68.32,64.69
Zambia,66.53,68.87,64.1
Sudan,66.52,69.83,63.45
South Africa,66.31,69.79,62.78
Afghanistan,66.29,67.81,64.7
Papua New Guinea,66.26,69.21,63.84
Djibouti,66.2,68.74,63.73
Gambia,66.06,67.75,64.35
Republic of the Congo,66.0,67.71,64.33
Ghana,65.7,68.16,63.31
Haiti,65.12,68.49,61.9
Angola,64.8,67.34,62.27
Eswatini,64.26,67.11,61.32
Guinea-Bissau,64.25,66.55,61.82
Cameroon,63.97,66.23,61.78
Equatorial Guinea,63.91,65.89,62.22
Kenya,63.83,66.12,61.64
Madagascar,63.83,65.6,62.12
Burundi,63.82,65.88,61.75
Mozambique,63.8,66.74,60.49
Zimbabwe,63.06,65.31,60.49
Togo,62.93,63.15,62.7
Liberia,62.32,63.63,61.02
Nauru,62.28,64.19,60.41
Ivory Coast,62.11,64.31,60.17
DR Congo,62.07,64.23,59.96
Sierra Leone,61.96,63.7,60.23
Niger,61.43,62.41,60.49
Burkina Faso,61.29,63.43,59.11
Benin,60.96,62.42,59.52
Guinea,60.9,62.09,59.66
Mali,60.67,62.15,59.25
Somalia,58.97,61.55,56.49
Lesotho,57.8,60.44,55.03
South Sudan,57.74,60.75,54.76
Central African Republic,57.67,59.56,55.51
Chad,55.24,57.19,53.36
Nigeria,54.63,54.94,54.33
